MP_ID,MP_formula,MP_species,MP_NE,AFLOW_ID,AFLOW_formula,AFLOW_species,AFLOW_NE
mp-16036,Tb2TeO2,"['O', 'Tb', 'Te']",3,aflow:64014758907b8038,O2Tb2Te1,"['O', 'Tb', 'Te']",3
mp-30358,TbAg2,"['Ag', 'Tb']",2,aflow:ce620ffad6e99ca9,Ag2Tb1,"['Ag', 'Tb']",2
mp-570179,TbAu2,"['Au', 'Tb']",2,aflow:d747bd4ffc1c3a31,Au2Tb1,"['Au', 'Tb']",2
mp-2119,TbC2,"['C', 'Tb']",2,aflow:d97a0bdb9ebbf74f,C2Tb1,"['C', 'Tb']",2
mp-16250,Th(SiAu)2,"['Au', 'Si', 'Th']",3,aflow:8268c40e2a307c24,Au1Si1Th1,"['Au', 'Si', 'Th']",3
mp-7523,Th2TeN2,"['N', 'Te', 'Th']",3,aflow:4d95fa3c731857a2,N2Te1Th2,"['N', 'Te', 'Th']",3
mp-24291,ThH2,"['H', 'Th']",2,aflow:d93c48d123874c8a,H2Th1,"['H', 'Th']",2
mp-979115,Ti2Ag,"['Ag', 'Ti']",2,aflow:cd218b45a20c9d02,Ag1Ti2,"['Ag', 'Ti']",2
mp-1018124,Ti2Rh,"['Rh', 'Ti']",2,aflow:97205066b95a758f,Rh1Ti2,"['Rh', 'Ti']",2
mp-1014229,Ti2Zn,"['Ti', 'Zn']",2,aflow:5041054f48131a6f,Ti2Zn1,"['Ti', 'Zn']",2
mp-9306,Sr2ZnN2,"['N', 'Sr', 'Zn']",3,aflow:7360abaaae420e0c,N2Sr2Zn1,"['N', 'Sr', 'Zn']",3
mp-1827,SrGa4,"['Ga', 'Sr']",2,aflow:942bb28649d360da,Ga4Sr1,"['Ga', 'Sr']",2
